HostName,#reads,#writes,total_duration
cernvmbl003.cern.ch,190,60,5.86041e+07
cernvmbl003.cern.ch,190,60,5.86083e+07
cernvmbl003.cern.ch,190,60,5.86042e+07
cernvmbl003.cern.ch,190,60,5.86079e+07
cernvmbl003.cern.ch,190,60,5.86021e+07
cernvmbl003.cern.ch,190,60,5.86043e+07
cernvmbl003.cern.ch,190,60,5.86029e+07
cernvmbl003.cern.ch,190,60,5.86039e+07
cernvmbl003.cern.ch,190,60,5.86048e+07
cernvmbl003.cern.ch,190,60,5.86042e+07
cernvmbl003.cern.ch,190,60,5.86034e+07
cernvmbl003.cern.ch,190,60,5.86049e+07
cernvmbl003.cern.ch,190,60,5.86049e+07
cernvmbl003.cern.ch,190,60,5.86052e+07
cernvmbl003.cern.ch,190,60,5.86052e+07
cernvmbl003.cern.ch,190,60,5.86058e+07
cernvmbl003.cern.ch,190,60,5.86058e+07
cernvmbl003.cern.ch,190,60,5.86061e+07
cernvmbl003.cern.ch,190,60,5.8606e+07
cernvmbl003.cern.ch,190,60,5.86061e+07
cernvmbl003.cern.ch,190,60,5.86064e+07
cernvmbl003.cern.ch,190,60,5.86062e+07
cernvmbl003.cern.ch,190,60,5.86061e+07
cernvmbl003.cern.ch,190,60,5.86064e+07
cernvmbl003.cern.ch,190,60,5.8606e+07
cernvmbl003.cern.ch,190,60,5.86061e+07
cernvmbl003.cern.ch,190,60,5.86052e+07
cernvmbl003.cern.ch,190,60,5.86057e+07
cernvmbl003.cern.ch,190,60,5.8606e+07
cernvmbl003.cern.ch,190,60,5.86052e+07
cernvmbl003.cern.ch,190,60,5.86052e+07
cernvmbl003.cern.ch,190,60,5.86054e+07
cernvmbl003.cern.ch,190,60,5.86053e+07
cernvmbl003.cern.ch,190,60,5.86053e+07
cernvmbl003.cern.ch,190,60,5.86053e+07
cernvmbl003.cern.ch,190,60,5.86053e+07
cernvmbl003.cern.ch,190,60,5.86055e+07
cernvmbl003.cern.ch,190,60,5.86056e+07
cernvmbl003.cern.ch,190,60,5.86055e+07
cernvmbl003.cern.ch,190,60,5.86055e+07
cernvmbl003.cern.ch,190,60,5.86054e+07
cernvmbl003.cern.ch,190,60,5.86054e+07
cernvmbl003.cern.ch,190,60,5.86055e+07
cernvmbl003.cern.ch,190,60,5.86055e+07
cernvmbl003.cern.ch,190,60,5.86056e+07
cernvmbl003.cern.ch,190,60,5.86054e+07
cernvmbl003.cern.ch,190,60,5.86053e+07
cernvmbl003.cern.ch,190,60,5.86053e+07
cernvmbl003.cern.ch,190,60,5.86056e+07
cernvmbl003.cern.ch,190,60,5.86053e+07
cernvmbl003.cern.ch,190,60,5.86053e+07
cernvmbl003.cern.ch,190,60,5.86055e+07
cernvmbl003.cern.ch,190,60,5.86052e+07
cernvmbl003.cern.ch,190,60,5.86052e+07
cernvmbl003.cern.ch,190,60,5.86051e+07
cernvmbl003.cern.ch,190,60,5.8606e+07
cernvmbl003.cern.ch,190,60,5.86056e+07
cernvmbl003.cern.ch,190,60,5.86051e+07
cernvmbl003.cern.ch,190,60,5.86054e+07
cernvmbl003.cern.ch,190,60,5.86053e+07
cernvmbl003.cern.ch,190,60,5.8605e+07
cernvmbl003.cern.ch,190,60,5.86058e+07
cernvmbl003.cern.ch,190,60,5.86051e+07
cernvmbl003.cern.ch,190,60,5.86053e+07
cernvmbl003.cern.ch,190,60,5.86061e+07
cernvmbl003.cern.ch,190,60,5.86053e+07
cernvmbl003.cern.ch,190,60,5.86061e+07
cernvmbl003.cern.ch,190,60,5.86054e+07
