HostName,#reads,#writes,total_duration
cernvmbl003.cern.ch,183,67,6.01654e+07
cernvmbl003.cern.ch,183,67,6.01658e+07
cernvmbl003.cern.ch,183,67,6.01711e+07
cernvmbl003.cern.ch,183,67,6.01794e+07
cernvmbl003.cern.ch,183,67,6.01825e+07
cernvmbl003.cern.ch,183,67,6.01811e+07
cernvmbl003.cern.ch,183,67,6.01818e+07
cernvmbl003.cern.ch,183,67,6.01805e+07
cernvmbl003.cern.ch,183,67,6.0179e+07
cernvmbl003.cern.ch,183,67,6.01797e+07
cernvmbl003.cern.ch,183,67,6.01772e+07
cernvmbl003.cern.ch,183,67,6.01764e+07
cernvmbl003.cern.ch,183,67,6.01783e+07
cernvmbl003.cern.ch,183,67,6.01777e+07
cernvmbl003.cern.ch,183,67,6.01721e+07
cernvmbl003.cern.ch,183,67,6.01745e+07
cernvmbl003.cern.ch,183,67,6.01737e+07
cernvmbl003.cern.ch,183,67,6.01755e+07
cernvmbl003.cern.ch,183,67,6.01712e+07
cernvmbl003.cern.ch,183,67,6.01695e+07
cernvmbl003.cern.ch,183,67,6.01729e+07
cernvmbl003.cern.ch,183,67,6.01677e+07
cernvmbl003.cern.ch,183,67,6.01702e+07
cernvmbl003.cern.ch,183,67,6.01684e+07
cernvmbl003.cern.ch,183,67,6.01654e+07
cernvmbl003.cern.ch,183,67,6.01689e+07
cernvmbl003.cern.ch,183,67,6.0167e+07
cernvmbl003.cern.ch,183,67,6.01663e+07
cernvmbl003.cern.ch,183,67,6.01609e+07
cernvmbl003.cern.ch,183,67,6.01646e+07
cernvmbl003.cern.ch,183,67,6.01639e+07
cernvmbl003.cern.ch,183,67,6.01623e+07
cernvmbl003.cern.ch,183,67,6.01628e+07
cernvmbl003.cern.ch,183,67,6.01595e+07
cernvmbl003.cern.ch,183,67,6.016e+07
cernvmbl003.cern.ch,183,67,6.01616e+07
cernvmbl003.cern.ch,183,67,6.01587e+07
cernvmbl003.cern.ch,183,67,6.01574e+07
cernvmbl003.cern.ch,183,67,6.01522e+07
cernvmbl003.cern.ch,183,67,6.0156e+07
cernvmbl003.cern.ch,183,67,6.01541e+07
cernvmbl003.cern.ch,183,67,6.01568e+07
cernvmbl003.cern.ch,183,67,6.01533e+07
cernvmbl003.cern.ch,183,67,6.01513e+07
cernvmbl003.cern.ch,183,67,6.01507e+07
cernvmbl003.cern.ch,183,67,6.015e+07
cernvmbl003.cern.ch,183,67,6.0155e+07
cernvmbl003.cern.ch,183,67,6.01486e+07
cernvmbl003.cern.ch,183,67,6.01465e+07
cernvmbl003.cern.ch,183,67,6.01476e+07
cernvmbl003.cern.ch,183,67,6.01471e+07
cernvmbl003.cern.ch,183,67,6.01443e+07
cernvmbl003.cern.ch,183,67,6.01458e+07
cernvmbl003.cern.ch,183,67,6.01438e+07
cernvmbl003.cern.ch,183,67,6.01448e+07
cernvmbl003.cern.ch,183,67,6.01426e+07
cernvmbl003.cern.ch,183,67,6.01419e+07
cernvmbl003.cern.ch,183,67,6.01413e+07
cernvmbl003.cern.ch,183,67,6.01405e+07
cernvmbl003.cern.ch,183,67,6.01424e+07
cernvmbl003.cern.ch,183,67,6.01421e+07
cernvmbl003.cern.ch,183,67,6.01399e+07
cernvmbl003.cern.ch,183,67,6.01388e+07
cernvmbl003.cern.ch,183,67,6.01394e+07
cernvmbl003.cern.ch,183,67,6.0137e+07
cernvmbl003.cern.ch,183,67,6.01381e+07
cernvmbl003.cern.ch,183,67,6.01377e+07
cernvmbl003.cern.ch,183,67,6.01354e+07
cernvmbl003.cern.ch,183,67,6.01363e+07
cernvmbl003.cern.ch,183,67,6.01337e+07
cernvmbl003.cern.ch,183,67,6.01345e+07
cernvmbl003.cern.ch,183,67,6.01327e+07
cernvmbl003.cern.ch,183,67,6.01319e+07
cernvmbl003.cern.ch,183,67,6.01276e+07
cernvmbl003.cern.ch,183,67,6.01311e+07
cernvmbl003.cern.ch,183,67,6.01282e+07
cernvmbl003.cern.ch,183,67,6.01299e+07
cernvmbl003.cern.ch,183,67,6.01264e+07
cernvmbl003.cern.ch,183,67,6.01291e+07
cernvmbl003.cern.ch,183,67,6.0123e+07
cernvmbl003.cern.ch,183,67,6.01255e+07
cernvmbl003.cern.ch,183,67,6.01228e+07
cernvmbl003.cern.ch,183,67,6.01238e+07
cernvmbl003.cern.ch,183,67,6.01218e+07
cernvmbl003.cern.ch,183,67,6.01248e+07
cernvmbl003.cern.ch,183,67,6.01196e+07
cernvmbl003.cern.ch,183,67,6.01165e+07
cernvmbl003.cern.ch,183,67,6.01209e+07
cernvmbl003.cern.ch,183,67,6.01183e+07
cernvmbl003.cern.ch,183,67,6.01189e+07
cernvmbl003.cern.ch,183,67,6.01174e+07
cernvmbl003.cern.ch,183,67,6.01148e+07
cernvmbl003.cern.ch,183,67,6.0114e+07
cernvmbl003.cern.ch,183,67,6.01157e+07
cernvmbl003.cern.ch,183,67,6.01124e+07
cernvmbl003.cern.ch,183,67,6.01117e+07
cernvmbl003.cern.ch,183,67,6.0111e+07
cernvmbl003.cern.ch,183,67,6.01131e+07
cernvmbl003.cern.ch,183,67,6.01104e+07
cernvmbl003.cern.ch,183,67,6.01096e+07
cernvmbl005.cern.ch,183,67,6.0109e+07
cernvmbl005.cern.ch,183,67,6.01094e+07
cernvmbl005.cern.ch,183,67,6.01092e+07
cernvmbl005.cern.ch,183,67,6.01093e+07
cernvmbl005.cern.ch,183,67,6.01092e+07
cernvmbl005.cern.ch,183,67,6.01095e+07
cernvmbl005.cern.ch,183,67,6.01093e+07
cernvmbl005.cern.ch,183,67,6.01093e+07
cernvmbl005.cern.ch,183,67,6.01094e+07
cernvmbl005.cern.ch,183,67,6.01097e+07
cernvmbl005.cern.ch,183,67,6.01099e+07
cernvmbl005.cern.ch,183,67,6.01098e+07
cernvmbl005.cern.ch,183,67,6.01097e+07
cernvmbl005.cern.ch,183,67,6.01115e+07
cernvmbl005.cern.ch,183,67,6.01098e+07
cernvmbl005.cern.ch,183,67,6.011e+07
cernvmbl005.cern.ch,183,67,6.01102e+07
cernvmbl005.cern.ch,183,67,6.01104e+07
cernvmbl005.cern.ch,183,67,6.01116e+07
cernvmbl005.cern.ch,183,67,6.01115e+07
cernvmbl005.cern.ch,183,67,6.01114e+07
cernvmbl005.cern.ch,183,67,6.01116e+07
cernvmbl005.cern.ch,183,67,6.01115e+07
cernvmbl005.cern.ch,183,67,6.01115e+07
cernvmbl005.cern.ch,183,67,6.01114e+07
cernvmbl005.cern.ch,183,67,6.01116e+07
cernvmbl005.cern.ch,183,67,6.01116e+07
cernvmbl005.cern.ch,183,67,6.01114e+07
cernvmbl005.cern.ch,183,67,6.01115e+07
cernvmbl005.cern.ch,183,67,6.01109e+07
cernvmbl005.cern.ch,183,67,6.01106e+07
cernvmbl005.cern.ch,183,67,6.01109e+07
cernvmbl005.cern.ch,183,67,6.01113e+07
cernvmbl005.cern.ch,183,67,6.0111e+07
cernvmbl005.cern.ch,183,67,6.01106e+07
cernvmbl005.cern.ch,183,67,6.01112e+07
cernvmbl005.cern.ch,183,67,6.01105e+07
cernvmbl005.cern.ch,183,67,6.01106e+07
cernvmbl005.cern.ch,183,67,6.01107e+07
cernvmbl005.cern.ch,183,67,6.01106e+07
cernvmbl005.cern.ch,183,67,6.0111e+07
cernvmbl005.cern.ch,183,67,6.01107e+07
cernvmbl005.cern.ch,183,67,6.01108e+07
cernvmbl005.cern.ch,183,67,6.01107e+07
cernvmbl005.cern.ch,183,67,6.01124e+07
cernvmbl005.cern.ch,183,67,6.01124e+07
cernvmbl005.cern.ch,183,67,6.01122e+07
cernvmbl005.cern.ch,183,67,6.01123e+07
cernvmbl005.cern.ch,183,67,6.01135e+07
cernvmbl005.cern.ch,183,67,6.01123e+07
cernvmbl005.cern.ch,183,67,6.01138e+07
cernvmbl005.cern.ch,183,67,6.01127e+07
cernvmbl005.cern.ch,183,67,6.01131e+07
cernvmbl005.cern.ch,183,67,6.01136e+07
cernvmbl005.cern.ch,183,67,6.01138e+07
cernvmbl005.cern.ch,183,67,6.01138e+07
cernvmbl005.cern.ch,183,67,6.01142e+07
cernvmbl005.cern.ch,183,67,6.01138e+07
cernvmbl005.cern.ch,183,67,6.01145e+07
cernvmbl005.cern.ch,183,67,6.01147e+07
cernvmbl005.cern.ch,183,67,6.01148e+07
cernvmbl005.cern.ch,183,67,6.01149e+07
cernvmbl005.cern.ch,183,67,6.01153e+07
cernvmbl005.cern.ch,183,67,6.01149e+07
cernvmbl005.cern.ch,183,67,6.01151e+07
cernvmbl005.cern.ch,183,67,6.01204e+07
cernvmbl005.cern.ch,183,67,6.01152e+07
cernvmbl005.cern.ch,183,67,6.01153e+07
cernvmbl005.cern.ch,183,67,6.01191e+07
cernvmbl005.cern.ch,183,67,6.01157e+07
cernvmbl005.cern.ch,183,67,6.01155e+07
cernvmbl005.cern.ch,183,67,6.01168e+07
cernvmbl005.cern.ch,183,67,6.01174e+07
cernvmbl005.cern.ch,183,67,6.0117e+07
cernvmbl005.cern.ch,183,67,6.01183e+07
cernvmbl005.cern.ch,183,67,6.01182e+07
cernvmbl005.cern.ch,183,67,6.01188e+07
cernvmbl005.cern.ch,183,67,6.01179e+07
cernvmbl005.cern.ch,183,67,6.01196e+07
cernvmbl005.cern.ch,183,67,6.01193e+07
cernvmbl005.cern.ch,183,67,6.01184e+07
cernvmbl005.cern.ch,183,67,6.01207e+07
cernvmbl005.cern.ch,183,67,6.01205e+07
cernvmbl005.cern.ch,183,67,6.01205e+07
cernvmbl005.cern.ch,183,67,6.01213e+07
cernvmbl005.cern.ch,183,67,6.01207e+07
cernvmbl005.cern.ch,183,67,6.01201e+07
cernvmbl005.cern.ch,183,67,6.01209e+07
cernvmbl005.cern.ch,183,67,6.01207e+07
cernvmbl005.cern.ch,183,67,6.01206e+07
cernvmbl005.cern.ch,183,67,6.01211e+07
cernvmbl005.cern.ch,183,67,6.0121e+07
cernvmbl005.cern.ch,183,67,6.01214e+07
