HostName,#reads,#writes,total_duration
cernvmbl003.cern.ch,175,75,3.17426e+07
cernvmbl003.cern.ch,175,75,3.17376e+07
cernvmbl003.cern.ch,175,75,3.17386e+07
cernvmbl003.cern.ch,175,75,3.17381e+07
cernvmbl003.cern.ch,175,75,3.1734e+07
cernvmbl003.cern.ch,175,75,3.17351e+07
cernvmbl003.cern.ch,175,75,3.17348e+07
cernvmbl003.cern.ch,175,75,3.17323e+07
cernvmbl003.cern.ch,175,75,3.17331e+07
cernvmbl003.cern.ch,175,75,3.17313e+07
cernvmbl003.cern.ch,175,75,3.17269e+07
cernvmbl003.cern.ch,175,75,3.17299e+07
cernvmbl003.cern.ch,175,75,3.17307e+07
cernvmbl003.cern.ch,175,75,3.17297e+07
cernvmbl003.cern.ch,175,75,3.17272e+07
cernvmbl003.cern.ch,175,75,3.17213e+07
cernvmbl003.cern.ch,175,75,3.17203e+07
cernvmbl003.cern.ch,175,75,3.17264e+07
cernvmbl003.cern.ch,175,75,3.17242e+07
cernvmbl003.cern.ch,175,75,3.17251e+07
cernvmbl003.cern.ch,175,75,3.17185e+07
cernvmbl003.cern.ch,175,75,3.17232e+07
cernvmbl003.cern.ch,175,75,3.17222e+07
cernvmbl003.cern.ch,175,75,3.17258e+07
cernvmbl003.cern.ch,175,75,3.17195e+07
cernvmbl003.cern.ch,175,75,3.17173e+07
cernvmbl003.cern.ch,175,75,3.17145e+07
cernvmbl003.cern.ch,175,75,3.17162e+07
cernvmbl003.cern.ch,175,75,3.17153e+07
cernvmbl003.cern.ch,175,75,3.17131e+07
cernvmbl003.cern.ch,175,75,3.17106e+07
cernvmbl003.cern.ch,175,75,3.17087e+07
cernvmbl003.cern.ch,175,75,3.17112e+07
cernvmbl003.cern.ch,175,75,3.17137e+07
cernvmbl003.cern.ch,175,75,3.17121e+07
cernvmbl003.cern.ch,175,75,3.17064e+07
cernvmbl003.cern.ch,175,75,3.17096e+07
cernvmbl003.cern.ch,175,75,3.17079e+07
cernvmbl003.cern.ch,175,75,3.1705e+07
cernvmbl003.cern.ch,175,75,3.1704e+07
cernvmbl003.cern.ch,175,75,3.17017e+07
cernvmbl003.cern.ch,175,75,3.17029e+07
cernvmbl003.cern.ch,175,75,3.17007e+07
cernvmbl003.cern.ch,175,75,3.16986e+07
cernvmbl003.cern.ch,175,75,3.16959e+07
cernvmbl003.cern.ch,175,75,3.16935e+07
cernvmbl003.cern.ch,175,75,3.1697e+07
cernvmbl003.cern.ch,175,75,3.16999e+07
cernvmbl003.cern.ch,175,75,3.16975e+07
cernvmbl003.cern.ch,175,75,3.1695e+07
cernvmbl003.cern.ch,175,75,3.16917e+07
cernvmbl003.cern.ch,175,75,3.16941e+07
cernvmbl003.cern.ch,175,75,3.16873e+07
cernvmbl003.cern.ch,175,75,3.16926e+07
cernvmbl003.cern.ch,175,75,3.16887e+07
cernvmbl003.cern.ch,175,75,3.16844e+07
cernvmbl003.cern.ch,175,75,3.16895e+07
cernvmbl003.cern.ch,175,75,3.16909e+07
cernvmbl003.cern.ch,175,75,3.16833e+07
cernvmbl003.cern.ch,175,75,3.16863e+07
cernvmbl003.cern.ch,175,75,3.16851e+07
cernvmbl003.cern.ch,175,75,3.16823e+07
cernvmbl003.cern.ch,175,75,3.16814e+07
cernvmbl003.cern.ch,175,75,3.16813e+07
cernvmbl003.cern.ch,175,75,3.16822e+07
cernvmbl003.cern.ch,175,75,3.16806e+07
cernvmbl003.cern.ch,175,75,3.16797e+07
cernvmbl003.cern.ch,175,75,3.1679e+07
cernvmbl003.cern.ch,175,75,3.16793e+07
cernvmbl003.cern.ch,175,75,3.16743e+07
cernvmbl003.cern.ch,175,75,3.16784e+07
cernvmbl003.cern.ch,175,75,3.16782e+07
cernvmbl003.cern.ch,175,75,3.16715e+07
cernvmbl003.cern.ch,175,75,3.16725e+07
cernvmbl003.cern.ch,175,75,3.16735e+07
cernvmbl003.cern.ch,175,75,3.16671e+07
cernvmbl003.cern.ch,175,75,3.16698e+07
cernvmbl003.cern.ch,175,75,3.16677e+07
cernvmbl003.cern.ch,175,75,3.16642e+07
cernvmbl003.cern.ch,175,75,3.16686e+07
cernvmbl003.cern.ch,175,75,3.16623e+07
cernvmbl003.cern.ch,175,75,3.1663e+07
cernvmbl003.cern.ch,175,75,3.16662e+07
cernvmbl003.cern.ch,175,75,3.16612e+07
cernvmbl003.cern.ch,175,75,3.16651e+07
cernvmbl003.cern.ch,175,75,3.16601e+07
cernvmbl003.cern.ch,175,75,3.1659e+07
cernvmbl003.cern.ch,175,75,3.16467e+07
cernvmbl003.cern.ch,175,75,3.16568e+07
cernvmbl003.cern.ch,175,75,3.16581e+07
cernvmbl003.cern.ch,175,75,3.16493e+07
cernvmbl003.cern.ch,175,75,3.16561e+07
cernvmbl003.cern.ch,175,75,3.1648e+07
cernvmbl003.cern.ch,175,75,3.16444e+07
cernvmbl003.cern.ch,175,75,3.16538e+07
cernvmbl003.cern.ch,175,75,3.16504e+07
cernvmbl003.cern.ch,175,75,3.16456e+07
cernvmbl003.cern.ch,175,75,3.16551e+07
cernvmbl003.cern.ch,175,75,3.16527e+07
cernvmbl003.cern.ch,175,75,3.1643e+07
