HostName,#reads,#writes,total_duration
cernvmbl003.cern.ch,192,58,1.18592e+08
cernvmbl003.cern.ch,192,58,1.18551e+08
cernvmbl003.cern.ch,192,58,1.18587e+08
cernvmbl003.cern.ch,192,58,1.18594e+08
cernvmbl003.cern.ch,192,58,1.18688e+08
cernvmbl003.cern.ch,192,58,1.18524e+08
cernvmbl003.cern.ch,192,58,1.18659e+08
cernvmbl003.cern.ch,192,58,1.18623e+08
cernvmbl003.cern.ch,192,58,1.1872e+08
cernvmbl003.cern.ch,192,58,1.18721e+08
cernvmbl003.cern.ch,192,58,1.18721e+08
cernvmbl003.cern.ch,192,58,1.18723e+08
cernvmbl003.cern.ch,192,58,1.18722e+08
cernvmbl003.cern.ch,192,58,1.18724e+08
cernvmbl003.cern.ch,192,58,1.18723e+08
cernvmbl003.cern.ch,192,58,1.18725e+08
cernvmbl003.cern.ch,192,58,1.18729e+08
cernvmbl003.cern.ch,192,58,1.18726e+08
cernvmbl003.cern.ch,192,58,1.18731e+08
cernvmbl003.cern.ch,192,58,1.18728e+08
cernvmbl003.cern.ch,192,58,1.18732e+08
cernvmbl003.cern.ch,192,58,1.1873e+08
cernvmbl003.cern.ch,192,58,1.18739e+08
cernvmbl003.cern.ch,192,58,1.18733e+08
cernvmbl003.cern.ch,192,58,1.18734e+08
cernvmbl003.cern.ch,192,58,1.18735e+08
cernvmbl003.cern.ch,192,58,1.1874e+08
cernvmbl003.cern.ch,192,58,1.18736e+08
cernvmbl003.cern.ch,192,58,1.18736e+08
cernvmbl003.cern.ch,192,58,1.18738e+08
cernvmbl003.cern.ch,192,58,1.18746e+08
cernvmbl003.cern.ch,192,58,1.18742e+08
cernvmbl003.cern.ch,192,58,1.18748e+08
cernvmbl003.cern.ch,192,58,1.18741e+08
cernvmbl003.cern.ch,192,58,1.18744e+08
cernvmbl003.cern.ch,192,58,1.18746e+08
cernvmbl003.cern.ch,192,58,1.18749e+08
cernvmbl003.cern.ch,192,58,1.18745e+08
cernvmbl003.cern.ch,192,58,1.18748e+08
cernvmbl003.cern.ch,192,58,1.18747e+08
cernvmbl003.cern.ch,192,58,1.18751e+08
