HostName,#reads,#writes,total_duration
cernvmbl003.cern.ch,175,75,3.03277e+07
cernvmbl003.cern.ch,175,75,3.03306e+07
cernvmbl003.cern.ch,175,75,3.03272e+07
cernvmbl003.cern.ch,175,75,3.03301e+07
cernvmbl003.cern.ch,175,75,3.0332e+07
cernvmbl003.cern.ch,175,75,3.03304e+07
cernvmbl003.cern.ch,175,75,3.0331e+07
cernvmbl003.cern.ch,175,75,3.03337e+07
cernvmbl003.cern.ch,175,75,3.03342e+07
cernvmbl003.cern.ch,175,75,3.03357e+07
cernvmbl003.cern.ch,175,75,3.03328e+07
cernvmbl003.cern.ch,175,75,3.03349e+07
cernvmbl003.cern.ch,175,75,3.03356e+07
cernvmbl003.cern.ch,175,75,3.03362e+07
cernvmbl003.cern.ch,175,75,3.03366e+07
cernvmbl003.cern.ch,175,75,3.03383e+07
cernvmbl003.cern.ch,175,75,3.03372e+07
cernvmbl003.cern.ch,175,75,3.03395e+07
cernvmbl003.cern.ch,175,75,3.03376e+07
cernvmbl003.cern.ch,175,75,3.03389e+07
cernvmbl003.cern.ch,175,75,3.03408e+07
cernvmbl003.cern.ch,175,75,3.034e+07
cernvmbl003.cern.ch,175,75,3.03426e+07
cernvmbl003.cern.ch,175,75,3.03434e+07
cernvmbl003.cern.ch,175,75,3.03418e+07
cernvmbl003.cern.ch,175,75,3.03457e+07
cernvmbl003.cern.ch,175,75,3.0344e+07
cernvmbl003.cern.ch,175,75,3.03465e+07
cernvmbl003.cern.ch,175,75,3.03478e+07
cernvmbl003.cern.ch,175,75,3.03446e+07
cernvmbl003.cern.ch,175,75,3.03455e+07
cernvmbl003.cern.ch,175,75,3.03471e+07
cernvmbl003.cern.ch,175,75,3.03493e+07
cernvmbl003.cern.ch,175,75,3.03488e+07
cernvmbl003.cern.ch,175,75,3.0351e+07
cernvmbl003.cern.ch,175,75,3.03483e+07
cernvmbl003.cern.ch,175,75,3.03507e+07
cernvmbl003.cern.ch,175,75,3.035e+07
cernvmbl003.cern.ch,175,75,3.03526e+07
cernvmbl003.cern.ch,175,75,3.03532e+07
cernvmbl003.cern.ch,175,75,3.03545e+07
cernvmbl003.cern.ch,175,75,3.03517e+07
cernvmbl003.cern.ch,175,75,3.0354e+07
cernvmbl003.cern.ch,175,75,3.03554e+07
cernvmbl003.cern.ch,175,75,3.0355e+07
cernvmbl003.cern.ch,175,75,3.0356e+07
cernvmbl003.cern.ch,175,75,3.03603e+07
cernvmbl003.cern.ch,175,75,3.03587e+07
cernvmbl003.cern.ch,175,75,3.03568e+07
cernvmbl003.cern.ch,175,75,3.03594e+07
cernvmbl003.cern.ch,175,75,3.03578e+07
cernvmbl003.cern.ch,175,75,3.03621e+07
cernvmbl003.cern.ch,175,75,3.0363e+07
cernvmbl003.cern.ch,175,75,3.03664e+07
cernvmbl003.cern.ch,175,75,3.03612e+07
cernvmbl003.cern.ch,175,75,3.03641e+07
cernvmbl003.cern.ch,175,75,3.03652e+07
cernvmbl003.cern.ch,175,75,3.03671e+07
cernvmbl003.cern.ch,175,75,3.03681e+07
cernvmbl003.cern.ch,175,75,3.03692e+07
cernvmbl003.cern.ch,175,75,3.03701e+07
cernvmbl003.cern.ch,175,75,3.03756e+07
cernvmbl003.cern.ch,175,75,3.03754e+07
cernvmbl003.cern.ch,175,75,3.03712e+07
cernvmbl003.cern.ch,175,75,3.03783e+07
cernvmbl003.cern.ch,175,75,3.03726e+07
cernvmbl003.cern.ch,175,75,3.03689e+07
cernvmbl003.cern.ch,175,75,3.03762e+07
cernvmbl003.cern.ch,175,75,3.03771e+07
cernvmbl003.cern.ch,175,75,3.03745e+07
cernvmbl003.cern.ch,175,75,3.03794e+07
cernvmbl003.cern.ch,175,75,3.03806e+07
cernvmbl003.cern.ch,175,75,3.03868e+07
cernvmbl003.cern.ch,175,75,3.03817e+07
cernvmbl003.cern.ch,175,75,3.03847e+07
cernvmbl003.cern.ch,175,75,3.03893e+07
cernvmbl003.cern.ch,175,75,3.0388e+07
cernvmbl003.cern.ch,175,75,3.0384e+07
cernvmbl003.cern.ch,175,75,3.0383e+07
cernvmbl003.cern.ch,175,75,3.03923e+07
cernvmbl003.cern.ch,175,75,3.03859e+07
cernvmbl003.cern.ch,175,75,3.03904e+07
cernvmbl003.cern.ch,175,75,3.03915e+07
cernvmbl003.cern.ch,175,75,3.0393e+07
cernvmbl003.cern.ch,175,75,3.03975e+07
cernvmbl003.cern.ch,175,75,3.0395e+07
cernvmbl003.cern.ch,175,75,3.03938e+07
cernvmbl003.cern.ch,175,75,3.03962e+07
cernvmbl003.cern.ch,175,75,3.03986e+07
cernvmbl003.cern.ch,175,75,3.04103e+07
cernvmbl003.cern.ch,175,75,3.03992e+07
cernvmbl003.cern.ch,175,75,3.04029e+07
cernvmbl003.cern.ch,175,75,3.04004e+07
cernvmbl003.cern.ch,175,75,3.04018e+07
cernvmbl003.cern.ch,175,75,3.0404e+07
cernvmbl003.cern.ch,175,75,3.04091e+07
cernvmbl003.cern.ch,175,75,3.04069e+07
cernvmbl003.cern.ch,175,75,3.04052e+07
cernvmbl003.cern.ch,175,75,3.0406e+07
cernvmbl003.cern.ch,175,75,3.0408e+07
