HostName,#reads,#writes,total_duration
cernvmbl003.cern.ch,195,55,3.00144e+07
cernvmbl003.cern.ch,195,55,3.00137e+07
cernvmbl003.cern.ch,195,55,3.00145e+07
cernvmbl003.cern.ch,195,55,3.00151e+07
cernvmbl003.cern.ch,195,55,3.00153e+07
cernvmbl003.cern.ch,195,55,3.00137e+07
cernvmbl003.cern.ch,195,55,3.00149e+07
cernvmbl003.cern.ch,195,55,3.00138e+07
cernvmbl003.cern.ch,195,55,3.00119e+07
cernvmbl003.cern.ch,195,55,3.0014e+07
cernvmbl003.cern.ch,195,55,3.00139e+07
cernvmbl003.cern.ch,195,55,3.0014e+07
cernvmbl003.cern.ch,195,55,3.00138e+07
cernvmbl003.cern.ch,195,55,3.00138e+07
cernvmbl003.cern.ch,195,55,3.0014e+07
cernvmbl003.cern.ch,195,55,3.00139e+07
cernvmbl003.cern.ch,195,55,3.00138e+07
cernvmbl003.cern.ch,195,55,3.00139e+07
cernvmbl003.cern.ch,195,55,3.00158e+07
cernvmbl003.cern.ch,195,55,3.00134e+07
cernvmbl003.cern.ch,195,55,3.00137e+07
cernvmbl003.cern.ch,195,55,3.00136e+07
cernvmbl003.cern.ch,195,55,3.00117e+07
cernvmbl003.cern.ch,195,55,3.00139e+07
cernvmbl003.cern.ch,195,55,3.00138e+07
cernvmbl003.cern.ch,195,55,3.00142e+07
cernvmbl003.cern.ch,195,55,3.00136e+07
cernvmbl003.cern.ch,195,55,3.00139e+07
cernvmbl003.cern.ch,195,55,3.00139e+07
cernvmbl003.cern.ch,195,55,3.0014e+07
cernvmbl003.cern.ch,195,55,3.00144e+07
cernvmbl003.cern.ch,195,55,3.00142e+07
cernvmbl003.cern.ch,195,55,3.00141e+07
cernvmbl003.cern.ch,195,55,3.00145e+07
cernvmbl003.cern.ch,195,55,3.00144e+07
cernvmbl003.cern.ch,195,55,3.00146e+07
cernvmbl003.cern.ch,195,55,3.00145e+07
cernvmbl003.cern.ch,195,55,3.00146e+07
cernvmbl003.cern.ch,195,55,3.00145e+07
cernvmbl003.cern.ch,195,55,3.00147e+07
cernvmbl003.cern.ch,195,55,3.00144e+07
cernvmbl003.cern.ch,195,55,3.00146e+07
cernvmbl003.cern.ch,195,55,3.00146e+07
cernvmbl003.cern.ch,195,55,3.00154e+07
cernvmbl003.cern.ch,195,55,3.00148e+07
cernvmbl003.cern.ch,195,55,3.00153e+07
cernvmbl003.cern.ch,195,55,3.0015e+07
cernvmbl003.cern.ch,195,55,3.00149e+07
cernvmbl003.cern.ch,195,55,3.00153e+07
cernvmbl003.cern.ch,195,55,3.00154e+07
cernvmbl003.cern.ch,195,55,3.00155e+07
cernvmbl003.cern.ch,195,55,3.0015e+07
cernvmbl003.cern.ch,195,55,3.00147e+07
cernvmbl003.cern.ch,195,55,3.00149e+07
cernvmbl003.cern.ch,195,55,3.00153e+07
cernvmbl003.cern.ch,195,55,3.00148e+07
cernvmbl003.cern.ch,195,55,3.00151e+07
cernvmbl003.cern.ch,195,55,3.00154e+07
cernvmbl003.cern.ch,195,55,3.00149e+07
cernvmbl003.cern.ch,195,55,3.00149e+07
cernvmbl003.cern.ch,195,55,3.00148e+07
cernvmbl003.cern.ch,195,55,3.00151e+07
cernvmbl003.cern.ch,195,55,3.00151e+07
cernvmbl003.cern.ch,195,55,3.00149e+07
cernvmbl003.cern.ch,195,55,3.0015e+07
cernvmbl003.cern.ch,195,55,3.00154e+07
cernvmbl003.cern.ch,195,55,3.00166e+07
cernvmbl003.cern.ch,195,55,3.00149e+07
cernvmbl003.cern.ch,195,55,3.00151e+07
cernvmbl003.cern.ch,195,55,3.00142e+07
cernvmbl003.cern.ch,195,55,3.00157e+07
cernvmbl003.cern.ch,195,55,3.00162e+07
cernvmbl003.cern.ch,195,55,3.00153e+07
cernvmbl003.cern.ch,195,55,3.00156e+07
cernvmbl003.cern.ch,195,55,3.00152e+07
cernvmbl003.cern.ch,195,55,3.00157e+07
cernvmbl003.cern.ch,195,55,3.00155e+07
cernvmbl003.cern.ch,195,55,3.00153e+07
cernvmbl003.cern.ch,195,55,3.00159e+07
cernvmbl003.cern.ch,195,55,3.00158e+07
cernvmbl003.cern.ch,195,55,3.00157e+07
cernvmbl003.cern.ch,195,55,3.00154e+07
cernvmbl003.cern.ch,195,55,3.00159e+07
cernvmbl003.cern.ch,195,55,3.00156e+07
cernvmbl003.cern.ch,195,55,3.00162e+07
cernvmbl003.cern.ch,195,55,3.0016e+07
cernvmbl003.cern.ch,195,55,3.00157e+07
cernvmbl003.cern.ch,195,55,3.00158e+07
cernvmbl003.cern.ch,195,55,3.00159e+07
cernvmbl003.cern.ch,195,55,3.00161e+07
cernvmbl003.cern.ch,195,55,3.00158e+07
cernvmbl003.cern.ch,195,55,3.0016e+07
cernvmbl003.cern.ch,195,55,3.00162e+07
cernvmbl003.cern.ch,195,55,3.00158e+07
cernvmbl003.cern.ch,195,55,3.0016e+07
cernvmbl003.cern.ch,195,55,3.0016e+07
cernvmbl003.cern.ch,195,55,3.00161e+07
cernvmbl003.cern.ch,195,55,3.00161e+07
cernvmbl003.cern.ch,195,55,3.00183e+07
cernvmbl003.cern.ch,195,55,3.00162e+07
